Symbol,Eigenvalue,
H,0,0
He,0,0
Li,0,0
Be,-4.14,0
B,-6.64,0
C,-8.97,0
N,-11.47,0
O,-14.13,0
F,-16.99,0
Ne,-20,0
Na,0,0
Mg,-2.99,0
Al,-4.86,0
Si,-6.52,0
P,-8.33,0
S,-10.27,0
Cl,-12.31,0
Ar,-14.5,0
K,0,0
Ca,0,0
Sc,9.35,0
Ti,11.04,0
V,12.55,0
Cr,13.94,0
Mn,15.27,0
Fe,16.54,0
Co,17.77,0
Ni,18.96,0
Cu,6.92,0
Cu(d),6.92,0
Cu(p),1.15,0
Zn,3.38,0
Ga,4.9,0
Ge,6.36,0
As,7.91,0
Se,9.53,0
Br,11.2,0
Kr,13,0
Rb,0,0
Sr,0,0
Y,6.8,0
Zr,8.46,0
Nb,10.03,0
Mo,11.56,0
Tc,13.08,0
Ru,14.59,0
Rh,16.16,0
Pd,17.66,0
Ag,19.21,0
Ag(d),19.21,0
Ag(p),2.05,0
Cd,3.38,0
In,4.69,0
Sn,5.94,0
Sb,7.24,0
Te,8.59,0
I,9.97,0
Xe,11.4,0
Cs,0,0
Ba,0,0
La,0,0
Ce,0,0
Pr,0,0
Nd,0,0
Pm,0,0
Sm,0,0
Eu,0,0
Gd,0,0
Tb,0,0
Dy,0,0
Ho,0,0
Er,0,0
Tm,0,0
Yb,0,0
Lu,6.62,0
Hf,8.14,0
Ta,9.57,0
W,10.96,0
Re,12.35,0
Os,13.73,0
Ir,15.13,0
Pt,16.55,0
Au,17.98,0
Au(d),17.98,0
Au(p),2.38,0
Hg,3.48,0
Tl,4.61,0
Pb,5.77,0
Bi,6.97,0
Po,8.19,0
At,9.44,0
Th,0,0
U,0,0
