Species Eg EA IP
SiC  2.36  4.00  6.36 
AlN  6.03  1.90  7.93 
AlP  2.42  2.51  4.93 
AlAs  2.36  1.71  4.07 
AlSb  1.60  3.60  5.20 
BaO  3.99  0.57  4.56 
BaS  3.81  0.84  4.65 
BaSe  3.66  0.95  4.61 
BaTe  3.40  1.43  4.83 
BN  6.20  4.50 10.70 
CaO  6.80  0.70  7.50 
CaS  4.60  1.85  6.45 
CaSe  4.87  2.32  7.19 
CaTe  4.07  3.53  7.60 
CaF2 12.10 -0.30 11.80 
CdO  0.78  5.24  6.02 
CdS  2.42  4.50  6.92 
CdSe  1.74  4.56  6.30 
CdTe  1.44  4.28  5.72 
CsI  6.20 -0.30  5.90 
GaN  3.43  4.10  7.53 
GaP  2.26  4.10  6.36 
GaAs  1.42  4.07  5.49 
GaSb  0.73  4.06  4.79 
InN  0.65  5.80  6.45 
InP  1.34  4.38  5.72 
InAs  0.36  4.90  5.26 
InSb  0.24  4.59  4.83 
KF 10.70  0.00 10.70 
KCl  8.90  0.50  9.40 
KBr  7.40  0.80  8.20 
KI  6.00  1.20  7.20 
LiF 13.60  1.35 14.95 
LiBr  7.60  0.20  7.80 
MgO  7.80 -0.65  7.15 
MgS  4.87  3.15  8.02 
MgSe  4.05  4.50  8.55 
NaF 11.60  1.35 12.95 
NaCl  8.50  0.50  9.00 
NaBr  7.50  0.40  7.90 
PbS  0.40  4.60  5.00 
RbF 10.35 -0.10 10.25 
RbCl  8.20  0.50  8.70 
RbBr  7.40  0.40  7.80 
RbI  6.10  1.20  7.30 
Si3N4  5.30  2.10  7.40 
SnS2  2.10  4.20  6.30 
SnSe2  1.00  4.35  5.35 
SrO  5.20  0.67  5.87 
SrS  4.30  1.35  5.65 
SrSe  4.42  1.77  6.19 
SrTe  3.73  2.40  6.13 
ZnO  3.30  4.20  7.50 
ZnS  3.70  3.80  7.50 
ZnSe  2.82  4.00  6.82 
ZnTe  2.26  3.53  5.79 
HfO2  5.70  2.00  7.70 
ZrO2  5.80  2.60  8.40 
SiO2  9.00  0.90  8.10 
GeO2  5.35  2.93  8.28 
SnO2  3.60  5.30  8.90 
MoO3  2.80  2.20  5.00 
WO3  2.95  3.33  6.28 
Al2O3  8.70  3.72 12.42 
Ga2O3  4.80  3.20  8.00 
In2O3  2.70  4.30  7.00 
La2O3  6.00  2.50  8.50 
Ta2O5  4.50  3.20  7.70 
TiO2  3.05  4.20  7.21 
C  5.48  0.37  5.85 
Si  1.17  3.98  5.15 
Ge  0.74  4.01  4.75 
MnO  3.28  1.80  5.08 
NiO  3.60  1.73  5.33 
Cu2O  2.10  3.56  5.66 
Fe2O3  2.10  4.85  6.95 
SrTiO3  3.20  4.08  7.28 
Zn2TiO4  3.21  3.25  6.46 
Bi2O3  2.77  4.63  7.40 
Sb2O3  3.00  4.17  7.17 
NaNbO3  3.43  3.80  7.23 
KTaO3  3.53  3.80  7.33 
CuI  3.37  2.43  5.80 
CuI  2.18  3.02  5.20 
CuI  4.62  2.28  5.30 
BaTiO3  3.30  4.21  7.51 
CdFe2O4  2.30  4.89  7.19 
CuO  1.70  4.89  6.59 
FeTiO3  2.80  4.56  7.36 
Hg2Nb2O  1.80  5.05  6.85 
Nb2O5  3.40  4.16  7.56 
PbO  2.80  4.46  7.26 
PbFe12O19  2.30  5.20  7.50 
YFeO3  2.60  4.60  7.20 
FeS2  0.95  4.96  5.91 
HfS2  1.13  4.63  5.76 
HgS  2.00  4.74  6.74 
In2S3  2.00  3.69  5.69 
MoS2  1.17  4.43  5.60 
ZrS2  1.82  4.28  6.10 
Ag2O  1.20  4.69  5.89 
AlTiO3  3.60  3.64  7.24 
Ce2O3  2.40  4.00  6.40 
CoO  2.60  4.39  6.99 
CoTiO3  2.25  4.64  6.89 
CuTiO3  2.99  4.32  7.31 
FeO  2.40  4.33  6.73 
Fe3O4  0.10  5.73  5.83 
FeOOH  2.60  5.08  7.68 
HgO  1.90  5.13  7.03 
Hg2Ta2O7  1.80  5.34  7.14 
KNbO3  3.30  3.64  6.94 
LaTi2O7  4.00  3.90  7.90 
LiNbO3  3.50  3.77  7.27 
LiTaO3  4.00  3.55  7.55 
MgTiO3  3.70  3.75  7.45 
MnO2  0.25  5.83  6.08 
MnTiO3  3.10  4.04  7.14 
Nd2O3  4.70  2.87  7.57 
NiTiO3  2.18  4.70  6.88 
PdO  1.00  5.29  6.29 
Pr2O3  3.90  3.24  7.14 
Sm2O3  4.40  3.07  7.47 
SnO  4.20  3.59  7.79 
Tb2O3  3.80  3.44  7.24 
Tl2O3  1.60  4.55  6.15 
Yb2O3  4.90  3.02  7.92 
ZnTiO3  3.06  4.27  7.33 
Ag2S  0.92  4.50  5.42 
AgAsS2  1.95  4.51  6.46 
AgSbS2  1.72  4.51  6.23 
As2S3  2.50  4.58  7.08 
Ce2S3  2.10  3.59  5.69 
CoS  0.00  5.17  5.17 
CoS2  0.00  5.49  5.49 
CoAsS  0.50  4.96  5.46 
CuS  0.00  5.27  5.27 
Cu2S  1.10  4.44  5.54 
CuS2  0.00  5.57  5.57 
Cu3AsS4  1.28  4.75  6.03 
CuFeS2  0.35  4.97  5.32 
Cu5FeS4  1.00  4.55  5.55 
CuInS2  1.50  4.06  5.56 
CuIn5S8  1.26  4.09  5.35 
Dy2S3  2.85  3.36  6.21 
FeS  0.10  4.97  5.07 
Fe3S4  0.00  5.18  5.18 
FeAsS  0.20  5.01  5.21 
Gd2S3  2.55  3.57  6.12 
HgSb4S8  1.68  4.81  6.49 
La2S3  2.91  3.25  6.16 
MnS  3.00  3.31  6.31 
MnS2  0.50  4.99  5.49 
Nd2S3  2.70  3.30  6.00 
NiS  0.40  5.03  5.43 
NiS2  0.30  5.39  5.69 
OsS2  2.00  4.74  6.74 
Pb10Ag3Sb11S28  1.39  4.59  5.98 
Pb2As2S5  1.39  4.71  6.10 
PbCuSbS3  1.23  4.61  5.84 
Pb5Sn3Sb2S14  0.65  4.95  5.60 
PtS2  0.95  5.53  6.48 
Rh2S3  1.50  4.61  6.11 
RuS2  1.38  4.89  6.27 
Sb2S3  1.72  4.72  6.44 
Sm2S3  2.60  3.39  5.99 
SnS  1.01  4.66  5.67 
Tb2S3  2.50  3.51  6.01 
TiS2  0.70  4.76  5.46 
TlAsS2  1.80  4.16  5.96 
WS2  1.35  4.86  6.21 
ZnS2  2.70  4.21  6.91 
Zn3In2S6  2.81  3.59  6.40 
