no. , band gap , Mulliken e-neg , internuclear dist
['Tl', 'F'], 4.42416312669, 7.26214768233, 2.22
['Tl', 'At'], 1.33163702826, 5.39926795038, 2.95
['Tl', 'Br'], 1.74379557833, 6.2628123012, 2.84
['Tl', 'Cl'], 2.42043239743, 6.47093566032, 2.7
['Tl', 'I'], 1.3961104069, 5.93696322374, 3.05
['Ba', 'S'], 3.92308409176, 4.33382019932, 3.32
['Ba', 'Po'], 3.98370283442, 3.81571592234, 2.36
['Ba', 'O'], 5.56597811026, 5.00426451739, 2.88
['Ba', 'Te'], 5.04780563197, 3.90994531931, 1.98
['Ba', 'Se'], 5.0833755543, 4.30854989527, 1.98
['S', 'S'], 0.972203877551, 7.3788, 2.1
['S', 'Po'], 0.430613834211, 6.4966711476, 2.45
['S', 'O'], 2.88818384728, 8.52030433259, 1.71
['S', 'Te'], 0.321615344488, 6.6571069392, 2.43
['S', 'Se'], 0.376843240597, 7.33577456033, 2.25
['At', 'F'], 1.80342415656, 8.46289416216, 2.09
['At', 'At'], -0.73584, 6.292, 3.0
['At', 'Br'], -0.58031958559, 7.29832550658, 2.7
['At', 'Cl'], 0.0386083855967, 7.54086064054, 2.52
['At', 'I'], -0.652540425422, 6.91859951146, 2.89
['Rb', 'F'], 6.708527734, 5.16671487117, 2.81
['Rb', 'At'], 4.77630864001, 3.84135371972, 2.24
['Rb', 'Br'], 4.24754409942, 4.45572947114, 3.43
['Rb', 'Cl'], 4.90077340878, 4.60380055172, 3.29
['Rb', 'I'], 3.93550451922, 4.22390145718, 3.64
['Sr', 'S'], 3.9553816303, 4.47752159124, 3.0
['Sr', 'Po'], 4.66386884188, 3.9422379431, 2.04
['Sr', 'O'], 5.66607309285, 5.17019659201, 2.56
['Sr', 'Te'], 6.5771821875, 4.03959181106, 1.66
['Sr', 'Se'], 6.5399355666, 4.45141337105, 1.66
['K', 'F'], 6.73978170604, 5.16671487117, 2.66
['K', 'At'], 5.08466508232, 3.84135371972, 2.09
['K', 'Br'], 4.24565328695, 4.45572947114, 3.28
['K', 'Cl'], 4.90392262982, 4.60380055172, 3.14
['K', 'I'], 3.92683114142, 4.22390145718, 3.49
['Be', 'S'], 3.06944352556, 5.75606530192, 2.2
['Be', 'Po'], 2.29258101839, 5.06793291195, 2.36
['Be', 'O'], 5.58109524264, 6.64653170308, 1.76
['Be', 'Te'], 2.39819445472, 5.19308590339, 2.34
['Be', 'Se'], 2.85974576826, 5.72250195282, 2.16
['Se', 'S'], 0.376843240597, 7.33577456033, 2.25
['Se', 'Po'], -0.101510613673, 6.45878936024, 2.6
['Se', 'O'], 2.04550548105, 8.47062283424, 1.86
['Se', 'Te'], -0.194763475768, 6.61828965821, 2.58
['Se', 'Se'], -0.16407, 7.293, 2.4
['Pb', 'S'], 1.33524991433, 7.01219276974, 2.51
