Symbol,Eigenvalue,
H,0,0
He,0,0
Li,0,0
Be,-4.14,0
B,-6.64,0
C,-8.97,0
N,-11.47,0
O,-14.13,0
F,-16.99,0
Ne,-20,0
Na,0,0
Mg,-2.99,0
Al,-4.86,0
Si,-6.52,0
P,-8.33,0
S,-10.27,0
Cl,-12.31,0
Ar,-14.5,0
K,0,0
Ca,0,0
Sc,0,0
Ti,0,0
V,0,0
Cr,0,0
Mn,0,0
Fe,0,0
Co,0,0
Ni,0,0
Cu,-6.92,0
Zn,-3.38,0
Ga,-4.9,0
Ge,-6.63,0
As,-7.91,0
Se,-9.53,0
Br,-11.2,0
Kr,-13,0
Rb,0,0
Sr,0,0
Y,0,0
Zr,0,0
Nb,0,0
Mo,0,0
Tc,0,0
Ru,0,0
Rh,0,0
Pd,0,0
Ag,-2.05,0
Cd,-3.38,0
In,-4.69,0
Sn,-5.94,0
Sb,-7.24,0
Te,-8.59,0
I,-9.97,0
Xe,-11.4,0
Cs,0,0
Ba,0,0
La,0,0
Ce,0,0
Pr,0,0
Nd,0,0
Pm,0,0
Sm,0,0
Eu,0,0
Gd,0,0
Tb,0,0
Dy,0,0
Ho,0,0
Er,0,0
Tm,0,0
Yb,0,0
Lu,0,0
Hf,0,0
Ta,0,0
W,0,0
Re,0,0
Os,0,0
Ir,0,0
Pt,0,0
Au,-2.38,0
Hg,-3.48,0
Tl,-4.61,0
Pb,-5.77,0
Bi,-6.97,0
Po,-8.19,0
At,-9.44,0
Th,-10.71,0
U,0,0
