Symbol,Eigenvalue,
H,0,0
He,-23.4,0
Li,-5.48,0
Be,-8.17,0
B,-12.54,0
C,-17.52,0
N,-23.04,0
O,-29.14,0
F,-35.8,0
Ne,-43.2,0
Na,-5.13,0
Mg,-6.86,0
Al,-10.11,0
Si,-13.55,0
P,-17.1,0
S,-20.8,0
Cl,-24.63,0
Ar,-28.7,0
K,-4.19,0
Ca,-5.41,0
Sc,-5.85,0
Ti,0,0
V,0,0
Cr,0,0
Mn,0,0
Fe,0,0
Co,0,0
Ni,0,0
Cu,-6.92,0
Zn,-8.4,0
Ga,-11.37,0
Ge,-14.38,0
As,-17.33,0
Se,-20.32,0
Br,-23.35,0
Kr,-26.5,0
Rb,-3.94,0
Sr,-5,0
Y,-5.53,0
Zr,0,0
Nb,0,0
Mo,0,0
Tc,0,0
Ru,0,0
Rh,0,0
Pd,0,0
Ag,-6.41,0
Cd,-7.7,0
In,-10.12,0
Sn,-12.5,0
Sb,-14.8,0
Te,-17.11,0
I,-19.42,0
Xe,-21.8,0
Cs,-3.56,0
Ba,-4.45,0
La,-4.86,0
Ce,0,0
Pr,0,0
Nd,0,0
Pm,0,0
Sm,0,0
Eu,0,0
Gd,0,0
Tb,0,0
Dy,0,0
Ho,0,0
Er,0,0
Tm,0,0
Yb,0,0
Lu,0,0
Hf,0,0
Ta,0,0
W,0,0
Re,0,0
Os,0,0
Ir,0,0
Pt,0,0
Au,-6.48,0
Hg,-7.68,0
Tl,-9.92,0
Pb,-12.07,0
Bi,-14.15,0
Po,-16.21,0
At,-18.24,0
Rn,-20.31,0
Fr,-3.4,0
Ra,-4.24,0
Ac,-4.63,0
