Ag,1,-4.1
Al,3,-3.14
As,-3,-5.47
As,3,-3.61
B,3,-2.18
Ba,2,-0.52
Be,2,0.8
Bi,3,-4.33
Br,-1,-7.12
C,-4,-6.48
Ca,2,-1.44
Cd,2,-4.31
Ce,3,-4
Cl,-1,-8.61
Co,3,-3.5
Co,2,-2.8
Cr,6,-4.82
Cr,3,-3.3
Cr,2,-1.22
Cs,1,0.6
Cu,1,-3.46
Cu,2,-4.3
Dy,3,-3.3
Er,3,-2.4
F,-1,-9.89
Fe,3,-4.71
Fe,2,-2.05
Ga,3,-3.82
Gd,3,-2.5
Ge,4,-2.4
Hf,4,-3.36
Hg,2,-4.55
I,-1,-6.2
In,3,-4.53
K,1,0.33
La,3,-2.5
Li,1,1.67
Lu,3,-2
Mg,2,-1.72
Mn,4,-3.02
Mn,2,0.56
Mo,6,-4.61
Mo,4,-3.94
N,-3,-7
Na,1,0.87
Nb,5,-3.49
Ni,3,-3.5
O,-2,-7.98
P,-3,-6.2
Pb,2,-3.84
Pd,2,-1.67
Pr,3,-2.5
Pt,2,-2.17
Rb,1,0.75
Rh,3,-3.6
S,-2,-6.31
Sb,-3,-4.94
Sb,3,-4.16
Sc,3,-0.85
Se,-2,-5.86
Si,4,-2.37
Sn,2,-3.86
Sn,4,-4.26
Sr,2,-0.93
Ta,5,-3.69
Ta,4,-3.8
Te,-2,-6.14
Ti,4,-4.6
Tl,1,-3.27
V,5,-4.26
V,4,-2.03
V,2,-1.23
W,6,-4.41
W,4,-4
Y,3,-1.86
Yb,3,-1.7
Zn,2,-3.73
Zr,4,-3.45
