###############################################################################
#                                                                             #
#           element_data.txt -- This data file is part of SMACT               #
#                                                                             #
###############################################################################
#                                                                             #
# This table provides elemental properties which are accessed by the Element  #
# class. For efficiency the contents are cached in memory the first time they #
# are accessed by smact.data_loader.                                          #
#                                                                             #
# Symbol: Standard chemical symbol used as index throughout SMACT             #
#                                                                             #
# Name:   Standard chemical name of element                                   #
#                                                                             #
# Z:      Proton number                                                       #
#                                                                             #
# Mass:   Relative atomic mass in atomic mass units (i.e. 1/12 * mass of C-12)#
#         Values obtained from NIST Standard Reference Database 144           #
#         (J. S. Coursey, D. J. Schwab, J. J. Tsai, NIST Physical Measurement #
#         Laboratory) in 2016. Where the relative abundance of isotopes is    #
#         unknown or a range of values is provided, a simple mean was taken.  #
#                                                                             #
# r_cov:  Covalent radius in Angstroms                                        #
#         Ref: Cordero et al. (2008) DOI:10.1039/B801115J                     #
#                                                                             #
# e_affinity: Electron affinity in eV. NIST-recommended values.               #
#         Note that unspecified negative values (originally reported as '<0') #
#         are listed as 'None' in this table. Electron affinities of elements #
#         Fr (Z=87) and above are unknown, and also listed as 'None'.         #
#         Ref: Andersen et al. (1999) DOI: 10.1063/1.556047                   #
#                                                                             #
# p_eig:  Highest occupied p-state eigenvalue in eV. Based on approximate     #
#         Hartree-Fock calculations published by Herman & Skillman (1963);    #
#         the relevant values were tabulated and converted to eV by Harrison  #
#         (1980). Harrison's values are used here.                            #
#                                                                             #
# s_eig:  Highest occupied s-state eigenvalue in eV. The source is the same   #
#         as for p_states.                                                    #
#                                                                             #
# Abundance: Crustal abundance in mg/kg.                                      #
#         Ref: CRC Handbook of Chemistry and Physics, 92nd Ed. (2011)         #
#                                                                             #
# el_neg: Pauling electronegativity                                           #
#         Ref: CRC Handbook of Chemistry and Physics, 92nd Ed. (2011)         #
#         Elements 95 (Am) and above are assigned the value 1.3 as            #
#         recommended by Pauling (The Nature of the Chemical Bond, 1939)      #
#         The value of 3.0 for Krypton was computed by Allen and Huheey (1980)#
#         from the bond energy of KrF2. DOI: 10.1016/0022-1902(80)80132-1     #
#                                                                             #
# ion_pot: Ionisation potential in eV.                                        #
#         Ref: NIST Atomic Spectra Database, http://physics.nist.gov/asd      #
#         [Accessed April 2016]                                               #
#                                                                             #
###############################################################################
#
#Symbol  Name         Z     Mass          r_cov  e_affinity   p_eig     s_eig  Abundance el_neg  ion_pot
H        Hydrogen     1      1.0078250322 0.31   0.75420375    None      None  1.40e+03  2.20    13.598434005136
He       Helium       2      4.0026020000 0.28   None          None    -23.40  8.00e-03  None    24.587387936
Li       Lithium      3      6.9675000000 1.28   0.618049      None     -5.48  2.00e+01  0.98    5.391714761
Be       Beryllium    4      9.0121831000 0.96   None         -4.14     -8.17  2.80e+00  1.57    9.322699
B        Boron        5     10.8135000000 0.84   0.279723     -6.64    -12.54  1.00e+01  2.04    8.2980190
C        Carbon       6     12.0106000000 0.76   1.262118     -8.97    -17.52  2.00e+02  2.55    11.260300
N        Nitrogen     7     14.0068550000 0.71   -0.07       -11.47    -23.04  1.90e+01  3.04    14.53413
O        Oxygen       8     15.9994000000 0.66   1.461112    -14.13    -29.14  4.61e+05  3.44    13.618054
F        Fluorine     9     18.9984031630 0.57   3.4011887   -16.99    -35.80  5.85e+02  3.98    17.42282
Ne       Neon         10    20.1797000000 0.58   None        -20.00    -43.20  5.00e-03  None    21.564540
Na       Sodium       11    22.9897692800 1.66   0.547926      None     -5.13  2.36e+04  0.93    5.1390767
Mg       Magnesium    12    24.3055000000 1.41   None         -2.99     -6.86  2.33e+04  1.31    7.646235
Al       Aluminium    13    26.9815385000 1.21   0.43283      -4.86    -10.11  8.23e+04  1.61    5.985768
Si       Silicon      14    28.0850000000 1.11   1.389521     -6.52    -13.55  2.82e+05  1.90    8.151683
P        Phosphorus   15    30.9737619980 1.07   0.7465       -8.33    -17.10  1.05e+03  2.19    10.486686
S        Sulfur       16    32.0675000000 1.05   2.0771029   -10.27    -20.80  3.50e+00  2.58    10.36001
Cl       Chlorine     17    35.4515000000 1.02   3.612724    -12.31    -24.63  1.45e+02  3.16    12.96763
Ar       Argon        18    39.9480000000 1.06   None        -14.50    -28.70  3.50e+00  None    15.7596112
K        Potassium    19    39.0983000000 2.03   0.501459      None     -4.19  2.09e+04  0.82    4.34066354
Ca       Calcium      20    40.0780000000 1.76   0.02455       None     -5.41  4.15e+04  1.00    6.11315520
Sc       Scandium     21    44.9559080000 1.70   0.188         None     -5.85  2.20e+01  1.36    6.56149
Ti       Titanium     22    47.8670000000 1.60   0.084         None      None  5.65e+03  1.54    6.82812
V        Vanadium     23    50.9415000000 1.53   0.525         None      None  1.20e+02  1.63    6.746187
