ion,charge,coordination,crystal_radius,ionic_radius,comments,
Ac,3,6_n,1.26,1.12,,
Ag,1,2_n,0.81,0.67,,
Ag,1,4_n,1.14,1,,
Ag,1,4_sq,1.16,1.02,,
Ag,1,5_n,1.23,1.09,,
Ag,1,6_n,1.29,1.15,,
Ag,1,7_n,1.36,1.22,,
Ag,1,8_n,1.42,1.28,,
Ag,2,4_sq,0.93,0.79,,
Ag,2,6_n,1.08,0.94,,
Ag,3,4_sq,0.81,0.67,,
Ag,3,6_n,0.89,0.75,,
Al,3,4_n,0.53,0.39,,
Al,3,5_n,0.62,0.48,,
Al,3,6_n,0.675,0.535,,
Am,2,7_n,1.35,1.21,,
Am,2,8_n,1.4,1.26,,
Am,2,9_n,1.45,1.31,,
Am,3,6_n,1.115,0.975,,
Am,3,8_n,1.23,1.09,,
Am,4,6_n,0.99,0.85,,
Am,4,8_n,1.09,0.95,,
As,3,6_n,0.72,0.58,,
As,5,4_n,0.475,0.335,,
As,5,6_n,0.6,0.46,,
At,7,6_n,0.76,0.62,,
Au,1,6_n,1.51,1.37,,
Au,3,4_sq,0.82,0.68,,
Au,3,6_n,0.99,0.85,,
Au,5,6_n,0.71,0.57,,
B,3,3_n,0.15,0.01,,
B,3,4_n,0.25,0.11,,
B,3,6_n,0.41,0.27,,
Ba,2,6_n,1.49,1.35,,
Ba,2,7_n,1.52,1.38,,
Ba,2,8_n,1.56,1.42,,
Ba,2,9_n,1.61,1.47,,
Ba,2,10_n,1.66,1.52,,
Ba,2,11_n,1.71,1.57,,
Ba,2,12_n,1.75,1.61,,
Be,2,3_n,0.3,0.16,,
Be,2,4_n,0.41,0.27,,
Be,2,6_n,0.59,0.45,,
Bi,3,4_n,1.1,0.96,Bi 4_n added by KTB as it DOES exist radii are suspicious though,
Bi,3,5_n,1.1,0.96,,
Bi,3,6_n,1.17,1.03,,
Bi,3,8_n,1.31,1.17,,
Bi,5,6_n,0.9,0.76,,
Bk,3,6_n,1.1,0.96,,
Bk,4,6_n,0.97,0.83,,
Bk,4,8_n,1.07,0.93,,
Br,-1,6_n,1.82,1.96,,
