ion,charge,coordination,ionic_radius,reference,Abundance
Ac,3,6,1.12,Shannon,
Ac,3,8,1.252,ML Work,
Ag,2,2,0.552,ML Work,
Ag,1,1,0.563,ML Work,
Ag,1,2,0.67,Shannon,
Ag,3,4,0.67,Shannon,
Ag,3,6,0.75,Shannon,
Ag,2,4,0.79,Shannon,
Ag,1,3,0.844,ML Work,
Ag,3,8,0.882,ML Work,
Ag,2,6,0.94,Shannon,
Ag,1,4,1,Shannon,
Ag,2,8,1.076,ML Work,
Ag,1,5,1.09,Shannon,
Ag,1,6,1.15,Shannon,
Ag,1,7,1.22,Shannon,
Ag,1,8,1.28,Shannon,
Ag,1,9,1.35,ML Work,
Ag,1,10,1.415,ML Work,
Ag,1,11,1.479,ML Work,
Ag,1,12,1.542,ML Work,
Al,3,3,0.313,ML Work,
Al,3,4,0.39,Shannon,
Al,3,5,0.48,Shannon,
Al,3,6,0.535,Shannon,
Al,3,7,0.611,ML Work,
Am,4,6,0.85,Shannon,
Am,4,8,0.95,Shannon,
Am,3,6,0.975,Shannon,
Am,3,8,1.09,Shannon,
Am,2,7,1.21,Shannon,
Am,2,8,1.26,Shannon,
Am,2,9,1.31,Shannon,
As,5,3,0.255,ML Work,
As,5,4,0.335,Shannon,
As,5,5,0.395,ML Work,
As,3,3,0.413,ML Work,
As,5,6,0.46,Shannon,
As,3,4,0.471,ML Work,
As,3,5,0.524,ML Work,
As,5,8,0.577,ML Work,
As,3,6,0.58,Shannon,
At,7,6,0.62,Shannon,
Au,5,6,0.57,Shannon,
Au,3,4,0.68,Shannon,
Au,2,3,0.707,ML Work,
Au,3,5,0.762,ML Work,
Au,3,6,0.85,Shannon,
Au,1,2,0.86,ML Work,
Au,3,8,0.966,ML Work,
Au,3,10,1.09,ML Work,
Au,3,12,1.216,ML Work,
Au,1,6,1.37,Shannon,
B,3,3,0.01,Shannon,
B,3,4,0.11,Shannon,
B,3,5,0.188,ML Work,
B,3,6,0.27,Shannon,
Ba,2,1,0.979,ML Work,
Ba,2,2,1.053,ML Work,
Ba,2,3,1.128,ML Work,
Ba,2,4,1.203,ML Work,
Ba,2,5,1.274,ML Work,
Ba,2,6,1.35,Shannon,
Ba,2,7,1.38,Shannon,
Ba,2,8,1.42,Shannon,
Ba,2,9,1.47,Shannon,
Ba,2,10,1.52,Shannon,
Ba,2,11,1.57,Shannon,
Ba,2,12,1.61,Shannon,
Be,2,3,0.16,Shannon,
Be,2,4,0.27,Shannon,
Be,2,5,0.359,ML Work,
Be,2,6,0.45,Shannon,
Bi,5,2,0.419,ML Work,
Bi,5,4,0.592,ML Work,
Bi,3,1,0.614,ML Work,
Bi,5,5,0.676,ML Work,
Bi,3,2,0.705,ML Work,
Bi,5,6,0.76,Shannon,
Bi,3,3,0.795,ML Work,
Bi,5,8,0.878,ML Work,
Bi,3,4,0.88,ML Work,
Bi,3,5,0.96,Shannon,
Bi,3,6,1.03,Shannon,
Bi,3,7,1.097,ML Work,
Bi,3,8,1.17,Shannon,
Bi,3,9,1.22,ML Work,
Bi,3,10,1.275,ML Work,
Bi,3,11,1.33,ML Work,
Bi,3,12,1.385,ML Work,
Bk,4,6,0.83,Shannon,
Bk,4,8,0.93,Shannon,
Bk,3,6,0.96,Shannon,
Br,7,4,0.25,Shannon,
Br,5,3,0.31,Shannon,
Br,7,6,0.39,Shannon,
Br,3,4,0.59,Shannon,
Br,5,6,0.635,ML Work,
Br,1,2,1.021,ML Work,
Br,-1,6,1.96,Shannon,
C,3,2,0.027,ML Work,
C,4,3,0.07,ML Work,
C,3,3,0.084,ML Work,
C,2,1,0.105,ML Work,
C,4,4,0.15,Shannon,
C,2,2,0.156,ML Work,
C,4,6,0.16,Shannon,
Ca,2,1,0.601,ML Work,
Ca,2,2,0.685,ML Work,
Ca,2,3,0.769,ML Work,
Ca,2,4,0.85,ML Work,
Ca,2,5,0.927,ML Work,
Ca,2,6,1,Shannon,
Ca,2,7,1.06,Shannon,
Ca,2,8,1.12,Shannon,
Ca,2,9,1.18,Shannon,
Ca,2,10,1.23,Shannon,
Ca,2,11,1.286,ML Work,
Ca,2,12,1.34,Shannon,
Cd,2,2,0.586,ML Work,
Cd,2,3,0.69,ML Work,
Cd,2,4,0.78,Shannon,
Cd,2,5,0.87,Shannon,
Cd,2,6,0.95,Shannon,
Cd,2,7,1.03,Shannon,
Cd,2,8,1.1,Shannon,
Cd,2,9,1.151,ML Work,
Cd,2,10,1.204,ML Work,
Cd,2,12,1.31,Shannon,
Ce,3,2,0.772,ML Work,
Ce,4,6,0.87,Shannon,
Ce,3,4,0.895,ML Work,
Ce,4,7,0.913,ML Work,
Ce,3,5,0.953,ML Work,
Ce,4,8,0.97,Shannon,
Ce,3,6,1.01,Shannon,
Ce,4,9,1.023,ML Work,
Ce,3,7,1.07,Shannon,
Ce,4,10,1.07,Shannon,
Ce,4,12,1.14,Shannon,
Ce,3,8,1.143,Shannon,
Ce,3,9,1.196,Shannon,
