Symbol	#	Element	Covalent Radius (pm)	Eigenval
H	1	Hydrogen	32	
He	2	Helium	93	
Li	3	Lithium	123	
Be	4	Beryllium	90	4.14
B	5	Boron	82	6.64
C	6	Carbon	77	8.97
N	7	Nitrogen	75	11.47
O	8	Oxygen	73	14.13
F	9	Fluorine	72	16.99
Ne	10	Neon	71	20
Na	11	Sodium	154	
Mg	12	Magnesium	136	2.99
Al	13	Aluminum	118	4.86
Si	14	Silicon	111	6.52
P	15	Phosphorus	106	8.33
S	16	Sulfur	102	10.27
Cl	17	Chlorine	99	12.31
Ar	18	Argon	98	14.5
K	19	Potassium	203	
Ca	20	Calcium	174	
Sc	21	Scandium	144	9.35
Ti	22	Titanium	132	11.04
V	23	Vanadium	122	12.55
Cr	24	Chromium	118	13.94
Mn	25	Manganese	117	15.27
Fe	26	Iron	117	16.54
Co	27	Cobalt	116	17.77
Ni	28	Nickel	115	18.96
Cu(d)	29	Copper	117	6.92
Cu(p)	29	Copper	117	1.15
Zn	30	Zinc	125	3.38
Ga	31	Gallium	126	4.9
Ge	32	Germanium	122	6.36
As	33	Arsenic	120	7.91
Se	34	Selenium	116	9.53
Br	35	Bromine	114	11.2
Kr	36	Krypton	112	13
Rb	37	Rubidium	216	
Sr	38	Strontium	191	
Y	39	Yttrium	162	6.8
Zr	40	Zirconium	145	8.46
Nb	41	Niobium	134	10.03
Mo	42	Molybdenum	130	11.56
Tc	43	Technetium	127	13.08
Ru	44	Ruthenium	125	14.59
Rh	45	Rhodium	125	16.16
Pd	46	Palladium	128	17.66
Ag(d)	47	Silver	134	19.21
Ag(p)	47	Silver	134	2.05
Cd	48	Cadmium	148	3.38
In	49	Indium	144	4.69
Sn	50	Tin	141	5.94
Sb	51	Antimony	141	7.24
Te	52	Tellurium	136	8.59
I	53	Iodine	133	9.97
Xe	54	Xenon	131	11.4
Cs	55	Cesium	235	
Ba	56	Barium	198	
La	57	Lanthanum	169	
Ce	58	Cerium	165	
Pr	59	Praseodymium	165	
Nd	60	Neodymium	164	
Pm	61	Promethium	163	
Sm	62	Samarium	162	
Eu	63	Europium	185	
Gd	64	Gadolinium	161	
Tb	65	Terbium	159	
Dy	66	Dysprosium	159	
Ho	67	Holmium	158	
Er	68	Erbium	157	
Tm	69	Thulium	156	
Yb	70	Ytterbium	174	
Lu	71	Lutetium	156	6.62
Hf	72	Hafnium	144	8.14
Ta	73	Tantalum	134	9.57
W	74	Tungsten	130	10.96
Re	75	Rhenium	128	12.35
Os	76	Osmium	126	13.73
Ir	77	Iridium	127	15.13
Pt	78	Platinum	130	16.55
Au(d)	79	Gold	134	17.98
Au(p)	79	Gold	134	2.38
Hg	80	Mercury	149	3.48
Tl	81	Thallium	148	4.61
Pb	82	Lead	147	5.77
Bi	83	Bismuth	146	6.97
Po	84	Polonium	146	8.19
At	85	Astatine	145	9.44
Th	90	Thorium	165	
U	92	Uranium	142	
